INSTNM,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN
Ross Medical Education Center-Evansville,0.0441,0.9559,0.1765,0.0882,0.0588,0,0,0,0.0294,0,0.6471
Ross Medical Education Center-Johnson City,0.0149,0.9851,0.2836,0.0597,0.0149,0,0,0,0.0597,0.0448,0.5373
North-West College-Anaheim,0.1121,0.8879,0.1692,0.0747,0.4637,0.1055,0.022,0.0088,0.1538,0,0.0022
North-West College-Long Beach,0.1198,0.8802,0.2188,0.1528,0.3837,0.066,0.0139,0.0156,0.1267,0,0.0226
Taylor Andrews Academy of Hair Design-Provo,0.0743,0.9257,0.7703,0,0.1689,0.0068,0.0135,0.0068,0.0338,0,0
University of Florida-Online,0.4634,0.5366,0.5709,0.0419,0.2338,0.0566,0.0017,9e-4,0.0496,0.0116,0.033
Ogle School Hair Skin Nails-Stafford,0.0194,0.9806,0.0833,0.5039,0.3101,0.0194,0.0019,0.0019,0.0581,0,0.0213
University of Phoenix-Arizona,0.2924,0.7076,0.289,0.2437,0.1191,0.0105,0.0088,0.0061,0.0336,6e-4,0.2885
University of Phoenix-California,0.4839,0.5161,0.0968,0.1097,0.3548,0.0452,0.0065,0,0.0065,0,0.3806
University of Phoenix-Texas,0.5,0.5,0.15,0.15,0.15,0,0,0,0,0,0.55
Minerva University,0.4245,0.5755,0.0464,0,0.0017,0.0199,0.0017,0,0.0033,0.9237,0.0033
University of West Los Angeles,0.3333,0.6667,0.3333,0.1667,0.3333,0.1667,0,0,0,0,0
Rabbinical College Ohr Yisroel,1,0,1,0,0,0,0,0,0,0,0
Aveda Institute-Phoenix,0.0149,0.9851,0.3861,0.099,0.1683,0.0198,0.0099,0.0149,0.0594,0,0.2426
University of North Texas at Dallas,0.3377,0.6623,0.0954,0.2838,0.5426,0.0281,0.0017,7e-4,0.0305,0.0041,0.013
Dermal Science International Aesthetics and Nail Academy,0,1,0.6857,0.1429,0.0571,0.0571,0,0.0286,0.0286,0,0
BridgeValley Community & Technical College,0.4164,0.5836,0.8945,0.0565,0.0156,0.0075,0.0058,0,0,0,0.0202
Northwest College-Medford,0.0833,0.9167,0.6944,0,0.1667,0.0139,0.0556,0,0.0694,0,0
Houston Training Schools-Gessner,0.0258,0.9742,0.0194,0.3484,0.6,0.0323,0,0,0,0,0
Empire Beauty School-Buffalo,0,1,0.2436,0.3846,0.1282,0.0513,0,0,0.0385,0,0.1538
Paul Mitchell the School-Toledo,0.0473,0.9527,0.4793,0.432,0.0473,0,0.0118,0,0.0296,0,0
Georgia Military College,0.4167,0.5833,0.3872,0.3963,0.1044,0.0259,0.016,0.0058,0.001,0.0084,0.0549
Beau Monde Academy of Barbering and Cosmetology,0.2167,0.7833,0.4667,0.1833,0.2417,0.0333,0,0,0.05,0,0.025
Fountain of Youth Academy of Cosmetology,0,1,0.3846,0.4615,0.0192,0.0577,0,0,0.0577,0,0.0192
West Coast University-Miami,0.1178,0.8822,0.0511,0.1567,0.7489,0.0178,0,0,0.0233,0.0011,0.0011
Aparicio-Levy Technical College,0.7664,0.2336,0.4599,0.1241,0.3285,0.0146,0,0,0.073,0,0
The Vocational Nursing Institute Inc,0.05,0.95,0.15,0.65,0.2,0,0,0,0,0,0
Hollywood Institute of Beauty Careers-West Palm Beach,0.23,0.77,0.1115,0.3171,0.3902,0,0,0,0.0035,0,0.1777
Hollywood Institute of Beauty Careers-Casselberry,0.1683,0.8317,0.1122,0.3762,0.4587,0.0132,0,0.0165,0.0066,0,0.0165
Empire Beauty School-Cheltenham,0.0464,0.9536,0.0199,0.5563,0.0596,0,0.0066,0,0.0265,0,0.3311
Coachella Valley Beauty College-Hemet,0.1881,0.8119,0.198,0.099,0.6139,0.0198,0.0099,0,0.0495,0.0099,0
Coastal Pines Technical College,0.2855,0.7145,0.5977,0.2826,0.0788,0.0047,0.0018,6e-4,0.0296,0.003,0.0012
Studio Beauty School,0.0094,0.9906,0.7642,0.0283,0.0755,0.0189,0.0283,0.0094,0.0755,0,0
Latin Beauty Academy,0.1355,0.8645,0.0047,0,0.9907,0,0,0,0,0.0047,0
Associated Barber College of San Diego,0.8707,0.1293,0.0776,0.2241,0.6034,0.0603,0,0,0.0259,0,0.0086
ABCO Technology,0.7851,0.2149,0.1983,0.4215,0.1901,0.0992,0,0,0.0909,0,0
Lionel University,0.5813,0.4188,0.525,0.2438,0.15,0.0021,0.0167,0.0021,0.0563,0,0.0042
California Intercontinental University,0.4539,0.5461,0.2979,0.3901,0.156,0.0213,0.0142,0.0071,0.0213,0,0.0922
Infinity College,0.0385,0.9615,0.0769,0.9231,0,0,0,0,0,0,0
Universal Healthcare Careers College,0.1649,0.8351,0.7061,0.0036,0.2545,0.0287,0,0,0,0,0.0072
New Beginnings Beauty Academy,0,1,0.08,0.92,0,0,0,0,0,0,0
Dolce The Academy,0,1,0.119,0.3095,0.5238,0,0.0238,0,0.0238,0,0
American College of the Building Arts,0.8143,0.1857,0.9286,0.0214,0.0143,0.0071,0.0143,0.0071,0.0071,0,0
River Valley School of Massage,0,1,0.9167,0,0.0833,0,0,0,0,0,0
Atlantis University,0.8307,0.1693,0.0447,0.1885,0.4153,0.0096,0.0032,0,0.0032,0.3099,0.0256
Westchester School for Medical & Dental Assistants,0.1429,0.8571,0.1143,0.0857,0.8,0,0,0,0,0,0
Studio Incamminati,0.35,0.65,0.7,0.1,0.1,0.075,0,0,0,0.025,0
Salon Boutique Academy,0.0105,0.9895,0.267,0.2565,0.4503,0.0262,0,0,0,0,0
GA Beauty & Barber School,0.2764,0.7236,0.005,0,0.995,0,0,0,0,0,0
The Recording Conservatory of Austin,0.878,0.122,0.5488,0.3049,0.122,0.0122,0,0,0,0,0.0122
VH Barber & Styling Academy,0.7917,0.2083,0.125,0.8333,0,0,0,0,0.0417,0,0
Bet Medrash Gadol Ateret Torah,1,0,1,0,0,0,0,0,0,0,0
Yeshiva Ohr Yisrael,1,0,0.9412,0,0,0,0,0,0,0.0588,0
Yeshiva Sholom Shachna,1,0,1,0,0,0,0,0,0,0,0
Bethlehem College & Seminary,0.5978,0.4022,0.8587,0.0109,0.0217,0.0652,0,0,0,0.0435,0
Theatre of Arts,0.5405,0.4595,0.1892,0.1622,0.0811,0.1622,0,0,0.0541,0.2162,0.1351
Westchester College of Nursing & Allied Health,0.0909,0.9091,0.0909,0.5455,0.3636,0,0,0,0,0,0
Treasure Coast Technical College,0.4179,0.5821,0.2537,0.4478,0.2239,0.0149,0,0,0.0597,0,0
American College of Barbering,0.88,0.12,0.4267,0.4133,0.1067,0.0133,0,0,0.04,0,0
Beth Medrash Meor Yitzchok,1,0,0.973,0,0,0,0,0,0,0.027,0
Mingo Extended Learning Center,0,1,1,0,0,0,0,0,0,0,0
San Ignacio University,0.4533,0.5467,0.0133,0,0.5467,0.0267,0,0,0,0.4133,0
ZMS The Academy,0.3816,0.6184,0.1184,0.0921,0.7149,0.0395,0,0.0044,0.0175,0,0.0132
Valor Christian College,0.4602,0.5398,0.4659,0.2727,0.1477,0.0426,0.0085,0.0057,0.0256,0.0085,0.0227
Bethany Global University,0.2716,0.7284,0.7469,0.0185,0.0494,0.037,0.0123,0,0.0309,0.0062,0.0988
HVAC Technical Institute,0.9676,0.0324,0.0787,0.1759,0.6852,0.0185,0,0,0.0046,0,0.037
United International College,0.7886,0.2114,0.1029,0.12,0.08,0,0.0229,0,0,0.6743,0
San Francisco Film School,0.8511,0.1489,0.1418,0.0993,0.0496,0.0213,0.0071,0,0.0142,0,0.6667
Center for Ultrasound Research & Education,0.0571,0.9429,0.3714,0.2,0.4,0.0286,0,0,0,0,0
Culinary Tech Center,0.6364,0.3636,0.0682,0.4773,0.3636,0.0909,0,0,0,0,0
Randolph Technical Center,0,1,1,0,0,0,0,0,0,0,0
AMG School of Nursing,0.086,0.914,0.0281,0.8579,0.0737,0.0386,0,0.0018,0,0,0
Saint Michael College of Allied Health,0.1707,0.8293,0,1,0,0,0,0,0,0,0
Sandra Academy of Salon Services,0.2877,0.7123,0.9589,0.0411,0,0,0,0,0,0,0
California Jazz Conservatory,0.7,0.3,0.5,0,0.45,0,0,0,0.05,0,0
California Barber and Beauty College,0.918,0.082,0.2295,0,0.541,0.1639,0.0656,0,0,0,0
Laredo CHI Academy Beauty School,0.0179,0.9821,0,0,1,0,0,0,0,0,0
Florida International Training Institute,0.4964,0.5036,0,0,1,0,0,0,0,0,0
Gould's Academy,0,1,0.2561,0.6341,0.0549,0,0,0,0.0549,0,0
Aviation Institute of Maintenance-Fremont,0.918,0.082,0.125,0.1836,0.3672,0.1875,0,0.0508,0.0859,0,0
Paul Mitchell the School-Tulsa,0.0442,0.9558,0.5502,0.0482,0.0924,0.012,0.1968,0,0.1004,0,0
PPG Technical College,0.2113,0.7887,0,0,1,0,0,0,0,0,0
Academy of Professional Cosmetology,0.0234,0.9766,0.4561,0.0468,0.3977,0.0175,0,0,0.0819,0,0
Empire Beauty School-Northlake,0.0256,0.9744,0.0256,0.8803,0.0256,0,0,0,0.0427,0,0.0256
Ross Medical Education Center-Huntsville,0.0367,0.9633,0.1284,0.2569,0.0367,0,0,0,0.0092,0.0092,0.5596
Ross Medical Education Center-Knoxville,0.0133,0.9867,0.2133,0.1067,0.04,0,0,0,0.0133,0,0.6267
Ross Medical Education Center-Muncie,0.037,0.963,0.3148,0.0926,0.0185,0,0,0,0.037,0.037,0.5
Cortiva Institute-Arlington,0.3111,0.6889,0.1889,0.5333,0.2333,0,0,0,0.0222,0,0.0222
Tulsa Welding School-Houston,0.8883,0.1117,0.1634,0.2968,0.4336,0.0117,0.01,0.0039,0,0,0.0806
Pima Medical Institute-El Paso,0.1769,0.8231,0.1034,0.0495,0.7856,0.0105,0.0075,0,0.0435,0,0
Pima Medical Institute-Phoenix,0.1157,0.8843,0.2964,0.0458,0.5096,0.012,0.0386,0.0024,0.0916,0,0.0036
Kennesaw State University,0.5029,0.4971,0.4258,0.2669,0.1565,0.0582,0.0013,0.001,0.0487,0.0173,0.0241
Entourage Institute of Beauty and Esthetics,0.0204,0.9796,0.6735,0.0408,0.1837,0,0.0204,0,0.0408,0,0.0408
Eastern Suffolk BOCES,0,1,0.6667,0,0.2222,0,0,0,0,0,0.1111
Eastern Suffolk BOCES,0,1,0.4839,0.0968,0.1613,0.0323,0,0,0,0,0.2258
Milligan University,0.5287,0.4713,0.7229,0.0524,0.0639,0.0166,0.0013,0.0026,0.0383,0.0868,0.0153
Chamberlain University-Nevada,0.1972,0.8028,0.2513,0.103,0.2723,0.3072,0.0087,0.0192,0.0244,0,0.014
Chamberlain University-Michigan,0.1384,0.8616,0.6392,0.1851,0.0482,0.0715,0.0031,0,0.0233,0.0016,0.028
Chamberlain University-New Jersey,0.1383,0.8617,0.2044,0.4514,0.2059,0.0912,0.003,0.003,0.0137,0.0068,0.0205
Paul Mitchell the School-Madison,0.4423,0.5577,0.4615,0.1923,0.2308,0.0577,0,0,0.0577,0,0
The University of Tennessee Health Science Center,0.0745,0.9255,0.5691,0.2766,0.0585,0.0319,0,0.0027,0.0266,0.016,0.0186
Unitech Training Academy-New Orleans,0.0462,0.9538,0.1846,0.8154,0,0,0,0,0,0,0
Wade Gordon Hairdressing Academy-Lubbock,0.3267,0.6733,0.3267,0.1089,0.505,0.0099,0.0099,0,0.0099,0,0.0297
Protege Academy,0,1,0.8788,0.0303,0.0909,0,0,0,0,0,0
Emory University-Oxford College,0.4748,0.5252,0.2878,0.0761,0.1182,0.3176,0,0,0.0308,0.149,0.0206
Southern Regional Technical College,0.272,0.728,0.4595,0.3929,0.1132,0.0051,0.001,0,0.025,0.0024,0.001
Texas College of Cosmetology-Lubbock,0.0337,0.9663,0.4494,0.1011,0.4494,0,0,0,0,0,0
Fortis College-Cuyahoga Falls,0.2209,0.7791,0.3436,0.5481,0.0143,0.0204,0,0.002,0.0573,0,0.0143
Jones Technical Institute,0.9157,0.0843,0.4713,0.2644,0.1418,0.023,0.0019,0.0134,0.069,0,0.0153
Texas State Technical College,0.7101,0.2899,0.3243,0.0618,0.5376,0.0087,0.0034,0.001,0.0029,0,0.0602
Aveda Institute Portland-Vancouver Campus,0.0231,0.9769,0.6769,0.0923,0.1,0.0077,0,0.0154,0.0615,0,0.0462
Arizona College of Nursing-Las Vegas,0.1333,0.8667,0.162,0.1511,0.319,0.2439,0.0042,0.0346,0.0776,0,0.0076
Florida Career College-Pembroke Pines,0.3782,0.6218,0.0128,0.2372,0.2051,0.0128,0.0064,0.0064,0.0064,0,0.5128
Florida Career College-West Palm Beach,0.5389,0.4611,0.0415,0.3368,0.2332,0.0052,0,0,0.0052,0,0.3782
Florida Career College-Hialeah,0.4973,0.5027,0.027,0.1622,0.2378,0,0.0108,0,0.0162,0,0.5459
Florida Career College-Lauderdale Lakes,0.2941,0.7059,0.0098,0.348,0.098,0.0049,0,0.0049,0.0049,0,0.5294
Florida Career College-Tampa,0.4214,0.5786,0.0566,0.1572,0.1572,0.0126,0,0.0063,0,0,0.6101
Florida Career College-Jacksonville,0.1734,0.8266,0.0867,0.3179,0.0809,0.0058,0.0058,0.0058,0.0058,0,0.4913
Florida Career College-Boynton Beach,0.3893,0.6107,0.0268,0.2483,0.094,0.0067,0,0,0.0067,0,0.6174
Florida Career College-Margate,0.3462,0.6538,0.0462,0.5077,0.1846,0.0077,0,0,0.0077,0,0.2462
Florida Career College-Orlando,0.4118,0.5882,0.0392,0.268,0.2222,0.0065,0.0065,0,0.0131,0,0.4444
UEI College-Phoenix,0.4024,0.5976,0.0479,0.0793,0.3014,0.0026,0.0401,0.0017,0.0131,0,0.5139
Florida Career College-Houston,0.2386,0.7614,0.0303,0.1856,0.1098,0.0038,0.0076,0,0.0076,0,0.6553
Aveda Institute-Madison,0.0118,0.9882,0.7059,0.0824,0.1059,0.0588,0.0118,0,0.0235,0,0.0118
Husson University,0.3929,0.6071,0.8284,0.0576,0.0084,0.0121,0.0046,0,0.0468,0.018,0.0242
Tricoci University of Beauty Culture-Elgin,0.013,0.987,0.3831,0.0714,0.474,0.013,0,0,0.039,0.0195,0
Concorde Career College-Southaven,0.0175,0.9825,0.0877,0.7368,0.0351,0,0.0263,0,0.0088,0,0.1053
Universal Technical Institute-Southern California,0.9413,0.0587,0.1161,0.0422,0.6614,0.0339,0.0076,0.0083,0.1009,7e-4,0.029
Northwest University-Center for Online and Extended Education,0.4486,0.5514,0.5451,0.0943,0.1237,0.0189,0,0.0063,0.0839,0.0063,0.1216
Celebrity Barber School,0.9375,0.0625,0.0625,0.875,0,0,0,0,0.0625,0,0
Academy of Interactive Entertainment,0.6106,0.3894,0.5133,0.3628,0.0177,0.0177,0,0,0.0442,0,0.0442
The Temple Annapolis-A Paul Mitchell Partner School,0.0588,0.9412,0.6244,0.1946,0.1041,0.0136,0,0,0.0181,0.0045,0.0407
Yeshiva Zichron Aryeh,1,0,0.9722,0,0,0,0,0,0,0.0278,0
Butte County Regional Occupational Program,0.0488,0.9512,0.5854,0.0488,0.2683,0.0244,0.0488,0,0,0,0.0244
Arclabs,0.8896,0.1104,0.3468,0.2519,0.3188,0.0031,0.0047,0.0078,0.056,0.0078,0.0031
Top of the Line Barber College,0.7,0.3,0.0833,0.8667,0.0333,0,0,0,0.0167,0,0
Midfield Institute of Cosmetology,0,1,0,1,0,0,0,0,0,0,0
American Institute of Alternative Medicine,0.2813,0.7188,0.4375,0.2813,0.0938,0.0938,0,0,0.0938,0,0
Felbry College,0.1121,0.8879,0.0421,0.8832,0.0187,0.0561,0,0,0,0,0
Regional Center for Border Health,0.1361,0.8639,0.1257,0.0157,0.7853,0,0.0733,0,0,0,0
Kentucky Horseshoeing School,0.6667,0.3333,0.9167,0,0,0.0833,0,0,0,0,0
Image Maker Beauty Institute,0.0156,0.9844,0.8125,0.0781,0.0938,0,0.0156,0,0,0,0
Dalton Institute of Esthetics and Cosmetology,0,1,0.3944,0.2254,0.3239,0.0282,0.0141,0,0.0141,0,0
CAAN Academy of Nursing,0.0556,0.9444,0,0.9667,0.0333,0,0,0,0,0,0
Martinsburg College,0.0271,0.9729,0.4471,0.3202,0.1596,0.0078,0.0227,0.0044,0.0358,0,0.0025
Alhambra Medical University,0.2286,0.7714,0.0286,0,0,0.9143,0,0,0,0.0571,0
Central Yeshiva Beth Joseph,1,0,0.6818,0,0,0,0,0,0,0.3182,0
Garden State Science and Technology Institute,0.0313,0.9688,0.0156,0.5451,0.3733,0.0139,0.0087,0.0017,0.0278,0,0.0139
Barber Tech Academy,0.5522,0.4478,0,1,0,0,0,0,0,0,0
Abraham Lincoln University,0.4694,0.5306,0.449,0.1224,0.2245,0.0408,0.0204,0.0204,0.0612,0,0.0612
Med College,0.2795,0.7205,0.0774,0.0976,0.8047,0.0101,0,0.0034,0.0034,0,0.0034
Sonoran Desert Institute,0.978,0.022,0.7235,0.0527,0.136,0.0107,0.0103,0.0044,0.0464,0,0.016
Natural Images Beauty College,0.1839,0.8161,0.3678,0.1264,0.4483,0,0,0,0.0575,0,0
Textures Institute of Cosmetology,0.087,0.913,0.0435,0.8261,0.0435,0.0435,0,0,0.0435,0,0
Williams Technical College,0.0606,0.9394,0.2222,0.7172,0.0202,0,0.0303,0,0,0,0.0101
PiBerry Institute,0.0208,0.9792,0,0.0417,0.8958,0,0,0,0,0.0625,0
Ea La Mar's Cosmetology & Barber College,0.4688,0.5313,0.0625,0.7813,0.1563,0,0,0,0,0,0
Regina Webb Academy,0.0667,0.9333,0.9333,0,0,0,0,0,0,0,0.0667
DeHart Technical School,0.9875,0.0125,0.325,0.0125,0.5375,0.0625,0,0.0125,0.0125,0,0.0375
Medical Career & Technical College,0.0402,0.9598,0.8342,0.0905,0.0201,0,0,0.005,0.0452,0.005,0
Center for Neurosomatic Studies,0.3913,0.6087,0.7391,0.1304,0.0435,0.087,0,0,0,0,0
Focus Personal Training Institute,0.7536,0.2464,0.1884,0.2319,0.2029,0.0145,0,0,0.2174,0,0.1449
Hair Academy School of Barbering & Beauty,0.76,0.24,0.16,0.48,0.36,0,0,0,0,0,0
Fosbre Academy of Hair Design,0.0233,0.9767,0.6744,0.0465,0.1395,0.0233,0.0116,0.0465,0.0581,0,0
National Personal Training Institute,0.814,0.186,0.4651,0.2093,0.2326,0,0,0,0.093,0,0
Mission Beauty Institute,0.2647,0.7353,0,0,0.9706,0.0294,0,0,0,0,0
Elim Bible Institute and College,0.5957,0.4043,0.6064,0.117,0.0638,0,0,0,0.0319,0.0851,0.0957
Beth Medrash of Asbury Park,1,0,0.844,0,0,0,0,0,0,0.156,0
Hope College of Arts and Sciences,0.1127,0.8873,0.0282,0.9155,0.0282,0.0282,0,0,0,0,0
Yeshiva Gedolah Shaarei Shmuel,1,0,1,0,0,0,0,0,0,0,0
Premier Barber Institute,0.8193,0.1807,0.2771,0.5422,0.1446,0,0,0,0.012,0,0.0241
International Beauty Education Center,0.027,0.973,0.8829,0.045,0.036,0.027,0,0.009,0,0,0
Claremont Lincoln University,0.5294,0.4706,0.2941,0.2353,0.2941,0.1176,0,0.0588,0,0,0
Phipps Academy of Barbering,0.7308,0.2692,0,1,0,0,0,0,0,0,0
Hoss Lee Academy,0.0309,0.9691,0.6082,0.0309,0.2062,0.0515,0.0206,0,0.0825,0,0
Indiana Wellness College,0.1299,0.8701,0.7143,0.1883,0.0519,0.0065,0.0065,0,0.013,0,0.0195
Kenny's Academy of Barbering,0.7619,0.2381,0.1293,0.7687,0.0544,0.0204,0,0,0.0068,0,0.0204
Seattle Film Institute,0.7,0.3,0.5333,0.15,0.1167,0.0667,0,0.05,0.0833,0,0
California College of Music,0.5714,0.4286,0.2857,0.5714,0,0,0,0,0,0.1429,0
Christian Culinary Academy,0.381,0.619,0.7143,0,0.0952,0.0952,0,0,0,0.0952,0
Glitz School of Cosmetology,0.303,0.697,0.0606,0,0.8485,0,0,0,0.0303,0,0.0606
Indiana Wesleyan University-National & Global,0.2522,0.7478,0.5969,0.2485,0.0637,0.0105,0.0043,0.0024,0.017,0.0257,0.031
NationsUniversity,0.8747,0.1253,0.0828,0.0112,0.0089,0,0,0,0.0022,0,0.8949
Northeast Lakeview College,0.4503,0.5497,0.2152,0.1011,0.5925,0.0276,0.0028,0.0026,0.051,0,0.0072
Paul Mitchell the School-Jessup,0.144,0.856,0.248,0.536,0.16,0.056,0,0,0,0,0
John Patrick University of Health and Applied Sciences,0.2976,0.7024,0.4118,0.1869,0.2526,0.0554,0.0035,0.0035,0.0173,0,0.0692
University of Saint Katherine,0.4696,0.5304,0.2478,0.0696,0.4696,0.0478,0.013,0.013,0.0783,0.0609,0
Teachers College of San Joaquin,0.3299,0.6701,0.4786,0.0496,0.2103,0.1043,0.0308,0.012,0.0342,0,0.0803
U.S. Truck Driver Training School,0.7811,0.2189,0.1849,0.7283,0.0302,0.0264,0.0113,0,0.0189,0,0
University of the People,0.5237,0.4763,0.0554,0.029,0.0282,0.0166,9e-4,7e-4,0.0055,0,0.8637
South Dade Technical College-South Dade Skills Center Campus,0.322,0.678,0.0195,0.2634,0.6683,0,0,0,0,0.0488,0
Alabama School of Nail Technology & Cosmetology,0.0294,0.9706,0.4608,0.4902,0.0392,0.0098,0,0,0,0,0
Tulsa Technology Center,0.6379,0.3621,0.4813,0.1145,0.1939,0.0436,0.1059,0.0031,0.0576,0,0
Ross Medical Education Center-Elyria,0.0517,0.9483,0.069,0.1379,0.2241,0,0,0,0.0862,0.0172,0.4655
Ross Medical Education Center-Lafayette,0,1,0.1818,0.1818,0.039,0,0,0.013,0.013,0.026,0.5455
Ross Medical Education Center-Midland,0.0278,0.9722,0.3333,0.0278,0.0556,0,0,0.0278,0.0556,0.0278,0.4722
Paul Mitchell the School-Clear Lake,0.031,0.969,0.4419,0.1163,0.4186,0.0078,0.0078,0,0.0078,0,0
Paul Mitchell the School-Nampa,0.1776,0.8224,0.5701,0,0.2991,0,0,0,0.1215,0,0.0093
Academy of Beauty Professionals,0.0923,0.9077,0.5077,0.2,0.1385,0.0615,0,0,0.0923,0,0
Academy of Beauty Professionals,0.1818,0.8182,0.4545,0.0909,0.2078,0.1429,0.013,0,0.0519,0,0.039
Academy of Beauty Professionals,0.1429,0.8571,0.4881,0.0714,0.2024,0.0833,0.0595,0.0119,0.0833,0,0
Kenneth Shuler School of Cosmetology-Goose Creek,0.0156,0.9844,0.4063,0.5313,0.0547,0,0,0,0.0078,0,0
Clovis Community College,0.4335,0.5665,0.2804,0.0346,0.4982,0.1292,0.0044,0.0016,0.045,0,0.0067
Boca Beauty Academy-Parkland,0.1317,0.8683,0.2244,0.3512,0.2927,0.0244,0,0.0049,0.0244,0,0.078
American Beauty Academy-West Valley Campus,0.0769,0.9231,0.3077,0,0.3462,0,0,0,0.0385,0.1154,0.1923
Caribbean Aviation Training Institute Inc,0.9476,0.0524,0,0,1,0,0,0,0,0,0
The College of Health Care Professions-McAllen Campus,0.1387,0.8613,0.0069,0.0027,0.9835,0.0027,0.0027,0,0.0014,0,0
Chamberlain University-North Carolina,0.0972,0.9028,0.2963,0.4722,0.1435,0.0324,0.0046,0.0046,0.0417,0,0.0046
Chamberlain University-California,0.1982,0.8018,0.3166,0.0695,0.2115,0.3328,0.0015,0.0133,0.0178,0.0015,0.0355
Spartan College of Aeronautics and Technology,0.9004,0.0996,0.1839,0.092,0.5517,0.0728,0.0038,0.0153,0.0651,0.0038,0.0115
Purdue University Global,0.4256,0.5744,0.5296,0.1799,0.161,0.0306,0.0056,0.0042,0.0434,0.0046,0.0411
Pima Medical Institute-Dillon,0.0476,0.9524,0.7619,0,0.0952,0,0.0952,0,0.0476,0,0
Arthur's Beauty College,0.0299,0.9701,0.6567,0.2985,0.0299,0,0.0149,0,0,0,0
Carolina University,0.5849,0.4151,0.3585,0.1533,0.125,0.0118,0.0024,0.0024,0.0637,0.2712,0.0118
National Personal Training Institute-Tampa,0.8077,0.1923,0.5,0.2692,0.1538,0,0,0,0.0769,0,0
Presbyterian Theological Seminary in America,0.3684,0.6316,0,0,0,0.5789,0,0,0,0.1842,0.2368
HCI College,0.1657,0.8343,0.1361,0.5976,0.213,0.0059,0,0.0059,0.0296,0,0.0118
America Evangelical University,0.662,0.338,0.1549,0.169,0.0845,0.3239,0,0.0563,0,0.2113,0
Gadsden Technical College,0.4138,0.5862,0.1379,0.8103,0.0517,0,0,0,0,0,0
Nashville Film Institute,0.8788,0.1212,0.5455,0.303,0.0909,0.0303,0,0,0.0303,0,0
Los Angeles Academy of Figurative Art,0.25,0.75,0.25,0,0.25,0.5,0,0,0,0,0
Westcliff University,0.6387,0.3613,0.0628,0.027,0.0265,0.0093,0.0025,0.0054,0.0201,0.0967,0.7496
World Class Academy of Beauty Careers,0.125,0.875,0,1,0,0,0,0,0,0,0
Allied Health Careers Institute,0.1064,0.8936,0.1277,0.617,0.2128,0.0426,0,0,0,0,0
Sacramento Ultrasound Institute,0.2308,0.7692,0.375,0.0673,0.2596,0.1827,0,0,0.1154,0,0
Regan Career Institute,0.2353,0.7647,0.0588,0.0784,0.3725,0.2353,0.1961,0,0.0392,0.0196,0
Bolivar Technical College,0.0764,0.9236,0.875,0.0347,0.0486,0.0069,0.0069,0,0.0278,0,0
MAK Beauty Institute,0.1111,0.8889,0.7778,0,0,0.2222,0,0,0,0,0
Reformed University,0.439,0.561,0.0348,0.0035,0.0941,0.4808,0,0,0,0.3868,0
Mobile Technical Training,0.8065,0.1935,0.1613,0.0645,0.6774,0.0968,0,0,0,0,0
American Barber and Beauty Academy,0.1864,0.8136,0.339,0.1695,0.4661,0,0,0,0.0169,0,0.0085
Master's Barber & Styling College,0.9231,0.0769,0.8462,0,0.0769,0,0,0,0.0385,0,0.0385
Yeshiva Shaar Ephraim,1,0,1,0,0,0,0,0,0,0,0
California Institute of Arts & Technology,0.7143,0.2857,0.2143,0.5,0.1429,0,0,0,0.1429,0,0
Elite Cosmetology Barber & Spa Academy,0.2545,0.7455,0.4364,0.0182,0.2909,0,0,0,0.2545,0,0
Cutting Edge Academy,0.234,0.766,0.6064,0.0426,0.266,0.0106,0,0,0,0.0319,0.0426
Yeshiva Bais Aharon,1,0,1,0,0,0,0,0,0,0,0
Mechon L'hoyroa,1,0,1,0,0,0,0,0,0,0,0
Elyon College,0,1,1,0,0,0,0,0,0,0,0
Harmony Health Care Institute,0.2073,0.7927,0.1037,0.7012,0.0732,0.0244,0,0,0.0061,0.0915,0
American Beauty Schools,0.0125,0.9875,0,0,1,0,0,0,0,0,0
Hogan Institute of Cosmetology and Esthetics,0.0141,0.9859,0.0845,0.6338,0.1549,0.0282,0,0.0141,0.0423,0,0.0423
J's Barber College,0.8261,0.1739,0.3043,0.5652,0,0,0,0,0.1304,0,0
Ann Webb Skin Institute,0.011,0.989,0.4144,0.1105,0.3481,0.0276,0.0055,0.011,0.0829,0,0
Apex Academy Hair Skin Nails School of Cosmetology,0,1,1,0,0,0,0,0,0,0,0
The Esthetic Institute,0,1,0.1589,0.2991,0.2897,0.0374,0.0093,0.0748,0.1028,0,0.028
Massage Institute of Memphis,0.35,0.65,0.35,0.5,0.1,0,0,0,0.05,0,0
Metro Detroit Barber College,0.7667,0.2333,0.0667,0.8,0.1333,0,0,0,0,0,0
Digital Media Institute,0.6154,0.3846,0.9231,0.0769,0,0,0,0,0,0,0
Yeshiva Ohr Naftoli,1,0,0.9767,0,0,0,0,0,0,0.0233,0
Bais Medrash Mayan Hatorah,1,0,1,0,0,0,0,0,0,0,0
Allgood Beauty Institute,0.05,0.95,0.4,0.45,0.15,0,0,0,0,0,0
Ray J's College of Hair,0.7941,0.2059,0.0294,0.9706,0,0,0,0,0,0,0
